新闻频道,#genre#
ELTA 娱乐台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv070
龙华日韩台,https://kaytse4gtv.koyeb.app/litv/litv-longturn11
TVBS 综艺台,https://kaytse4gtv.koyeb.app/4gtv/284
TVBS 欢乐台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv068
TVBS 精采台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv067
八大精彩台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv034
八大综艺台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv039
韩国娱乐台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv016
民视影剧台,https://kaytse4gtv.koyeb.app/litv/litv-ftv09
中视经典台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv080
靖天戏剧台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv058
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
八大综艺台,http://tw.ts138.top/4g/?id=4gtv-4gtv039
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
公视戏剧,http://tw.ts138.top/4g/?id=4gtv-4gtv042
台湾戏剧台,https://litv.zapi.us.kg/?id=litv-longturn22
民视影剧,http://tw.ts138.top/4g/?id=litv-ftv09
